X, Y0
0.0000,0.0094
0.0143,0.0092
0.0286,0.0091
0.0429,0.0094
0.0573,0.0094
0.0716,0.0093
0.0859,0.0091
0.1002,0.0099
0.1145,0.0091
0.1288,0.0099
0.1431,0.0094
0.1574,0.0094
0.1718,0.0093
0.1861,0.0097
0.2004,0.0094
0.2147,0.0094
0.2290,0.0094
0.2433,0.0101
0.2576,0.0099
0.2720,0.0094
0.2863,0.0098
0.3006,0.0098
0.3149,0.0097
0.3292,0.0095
0.3435,0.0096
0.3578,0.0089
0.3721,0.0095
0.3865,0.0097
0.4008,0.0096
0.4151,0.0091
0.4294,0.0092
0.4437,0.0095
0.4580,0.0094
0.4723,0.0094
0.4867,0.0093
0.5010,0.0094
0.5153,0.0091
0.5296,0.0094
0.5439,0.0094
0.5582,0.0089
0.5725,0.0094
0.5868,0.0096
0.6012,0.0092
0.6155,0.0096
0.6298,0.0094
0.6441,0.0094
0.6584,0.0097
0.6727,0.0095
0.6870,0.0100
0.7014,0.0097
0.7157,0.0097
0.7300,0.0094
0.7443,0.0098
0.7586,0.0094
0.7729,0.0097
0.7872,0.0092
0.8015,0.0098
0.8159,0.0100
0.8302,0.0098
0.8445,0.0096
0.8588,0.0097
0.8731,0.0101
0.8874,0.0099
0.9017,0.0098
0.9161,0.0097
0.9304,0.0096
0.9447,0.0095
0.9590,0.0097
0.9733,0.0093
0.9876,0.0095
1.0019,0.0100
1.0162,0.0096
1.0306,0.0096
1.0449,0.0094
1.0592,0.0097
1.0735,0.0094
1.0878,0.0095
1.1021,0.0096
1.1164,0.0092
1.1308,0.0094
1.1451,0.0094
1.1594,0.0098
1.1737,0.0099
1.1880,0.0097
1.2023,0.0092
1.2166,0.0094
1.2309,0.0091
1.2453,0.0091
1.2596,0.0095
1.2739,0.0094
1.2882,0.0093
1.3025,0.0094
1.3168,0.0095
1.3311,0.0094
1.3455,0.0094
1.3598,0.0094
1.3741,0.0097
1.3884,0.0093
1.4027,0.0093
1.4170,0.0091
1.4313,0.0095
1.4456,0.0098
1.4600,0.0097
1.4743,0.0094
1.4886,0.0093
1.5029,0.0097
1.5172,0.0098
1.5315,0.0101
1.5458,0.0097
1.5602,0.0097
1.5745,0.0097
1.5888,0.0098
1.6031,0.0100
1.6174,0.0095
1.6317,0.0096
1.6460,0.0097
1.6603,0.0101
1.6747,0.0101
1.6890,0.0091
1.7033,0.0091
1.7176,0.0098
1.7319,0.0097
1.7462,0.0100
1.7605,0.0094
1.7749,0.0094
1.7892,0.0094
1.8035,0.0094
1.8178,0.0094
1.8321,0.0097
1.8464,0.0095
1.8607,0.0100
