X, Y0
0.0000,0.0008
0.0196,0.0002
0.0392,0.0005
0.0589,0.0009
0.0785,0.0010
0.0981,0.0002
0.1177,0.0004
0.1373,0.0006
0.1569,0.0005
0.1766,0.0005
0.1962,0.0008
0.2158,0.0005
0.2354,0.0010
0.2550,0.0008
0.2747,0.0008
0.2943,0.0003
0.3139,0.0005
0.3335,0.0005
0.3531,0.0005
0.3728,0.0006
0.3924,0.0007
0.4120,0.0005
0.4316,0.0003
0.4512,0.0008
0.4708,0.0008
0.4905,0.0005
0.5101,0.0008
0.5297,0.0003
0.5493,0.0006
0.5689,0.0008
0.5886,0.0007
0.6082,0.0005
0.6278,0.0006
0.6474,0.0005
0.6670,0.0005
0.6867,0.0009
0.7063,0.0005
0.7259,0.0005
0.7455,0.0005
0.7651,0.0005
0.7847,0.0008
0.8044,0.0007
0.8240,0.0012
0.8436,0.0006
0.8632,0.0004
0.8828,0.0008
0.9025,0.0010
0.9221,0.0005
0.9417,0.0002
0.9613,0.0008
0.9809,0.0005
1.0005,0.0007
1.0202,0.0011
1.0398,0.0006
1.0594,0.0007
1.0790,0.0005
1.0986,0.0010
1.1183,0.0004
1.1379,0.0006
1.1575,0.0007
1.1771,0.0011
1.1967,0.0006
1.2164,0.0004
1.2360,0.0008
1.2556,0.0005
1.2752,0.0008
1.2948,0.0007
1.3144,0.0003
1.3341,0.0005
1.3537,0.0010
1.3733,0.0007
1.3929,0.0006
1.4125,0.0007
1.4322,0.0006
1.4518,0.0008
1.4714,0.0007
1.4910,0.0005
1.5106,0.0007
1.5303,0.0006
1.5499,0.0003
1.5695,0.0005
1.5891,0.0002
1.6087,9.7288E-5
1.6283,0.0006
1.6480,0.0005
1.6676,0.0008
1.6872,0.0006
1.7068,0.0011
1.7264,0.0001
1.7461,0.0008
1.7657,0.0012
1.7853,0.0002
1.8049,0.0006
1.8245,0.0005
1.8442,0.0008
1.8638,0.0006
1.8834,0.0004
1.9030,0.0002
1.9226,0.0004
1.9422,0.0006
1.9619,0.0005
1.9815,0.0005
2.0011,0.0002
2.0207,0.0006
2.0403,0.0004
2.0600,0.0008
2.0796,0.0007
2.0992,0.0005
2.1188,0.0008
2.1384,0.0005
2.1580,0.0005
2.1777,0.0004
2.1973,0.0008
2.2169,0.0002
2.2365,0.0005
2.2561,0.0005
2.2758,0.0008
2.2954,0.0006
2.3150,0.0008
2.3346,0.0008
2.3542,0.0008
2.3739,0.0007
2.3935,0.0005
2.4131,0.0005
2.4327,0.0005
2.4523,0.0005
2.4719,0.0005
2.4916,0.0005
2.5112,0.0006
2.5308,0.0007
2.5504,0.0005
2.5700,0.0009
2.5897,0.0005
2.6093,0.0006
2.6289,0.0006
2.6485,0.0008
2.6681,0.0005
2.6878,0.0006
2.7074,0.0005
2.7270,0.0005
2.7466,0.0007
2.7662,0.0005
2.7858,0.0008
2.8055,0.0009
2.8251,0.0011
2.8447,0.0006
2.8643,0.0007
2.8839,0.0008
2.9036,0.0007
2.9232,0.0006
2.9428,0.0010
2.9624,0.0009
2.9820,0.0005
3.0016,0.0008
3.0213,0.0006
3.0409,0.0008
3.0605,0.0007
3.0801,0.0008
3.0997,0.0005
3.1194,0.0006
3.1390,0.0008
3.1586,0.0012
3.1782,0.0008
3.1978,0.0003
3.2175,0.0008
3.2371,0.0012
3.2567,0.0005
3.2763,0.0006
3.2959,0.0005
3.3155,0.0007
3.3352,0.0005
3.3548,0.0005
3.3744,0.0012
3.3940,0.0002
3.4136,0.0003
3.4333,0.0008
3.4529,0.0005
3.4725,0.0005
3.4921,0.0005
3.5117,0.0004
3.5314,0.0012
3.5510,0.0005
3.5706,0.0005
3.5902,0.0005
3.6098,0.0011
3.6294,0.0005
3.6491,0.0008
3.6687,0.0005
3.6883,0.0006
3.7079,0.0005
3.7275,0.0007
3.7472,0.0008
3.7668,0.0004
3.7864,0.0003
3.8060,0.0012
3.8256,0.0002
3.8452,0.0011
3.8649,0.0002
3.8845,0.0003
3.9041,0.0005
3.9237,0.0007
3.9433,0.0009
3.9630,0.0002
3.9826,0.0010
4.0022,0.0008
4.0218,0.0008
4.0414,0.0007
4.0611,0.0002
4.0807,-3.4032E-5
4.1003,0.0008
4.1199,0.0005
4.1395,0.0007
4.1591,0.0002
4.1788,0.0006
4.1984,0.0007
4.2180,0.0002
4.2376,0.0005
4.2572,0.0007
4.2769,0.0006
4.2965,0.0007
4.3161,0.0005
4.3357,0.0007
4.3553,0.0004
4.3750,0.0002
4.3946,0.0010
4.4142,0.0005
4.4338,0.0005
4.4534,0.0008
4.4730,0.0008
4.4927,0.0005
4.5123,0.0004
4.5319,-7.6489E-5
4.5515,0.0002
4.5711,0.0005
4.5908,0.0003
4.6104,0.0007
4.6300,0.0005
4.6496,0.0007
4.6692,0.0006
4.6888,6.4496E-6
4.7085,0.0005
4.7281,0.0006
4.7477,9.0376E-5
4.7673,0.0005
4.7869,0.0005
4.8066,0.0005
4.8262,0.0006
4.8458,0.0004
4.8654,0.0005
4.8850,0.0002
4.9047,0.0005
4.9243,0.0008
4.9439,0.0005
4.9635,0.0004
4.9831,0.0008
5.0027,0.0006
5.0224,0.0005
5.0420,0.0002
5.0616,0.0008
5.0812,4.4749E-6
5.1008,0.0006
5.1205,0.0004
5.1401,0.0005
5.1597,0.0003
5.1793,0.0003
5.1989,0.0008
5.2186,0.0007
5.2382,0.0002
5.2578,0.0006
5.2774,0.0007
