X, Y0
0.0000,0.0045
0.0127,0.0048
0.0254,0.0050
0.0381,0.0049
0.0508,0.0048
0.0636,0.0046
0.0763,0.0044
0.0890,0.0048
0.1017,0.0047
0.1144,0.0049
0.1271,0.0045
0.1398,0.0048
0.1525,0.0048
0.1653,0.0049
0.1780,0.0048
0.1907,0.0046
0.2034,0.0048
0.2161,0.0054
0.2288,0.0045
0.2415,0.0045
0.2542,0.0050
0.2669,0.0048
0.2797,0.0046
0.2924,0.0048
0.3051,0.0051
0.3178,0.0049
0.3305,0.0046
0.3432,0.0048
0.3559,0.0051
0.3686,0.0048
0.3814,0.0048
0.3941,0.0048
0.4068,0.0048
0.4195,0.0051
0.4322,0.0054
0.4449,0.0048
0.4576,0.0050
0.4703,0.0048
0.4830,0.0048
0.4958,0.0045
0.5085,0.0045
0.5212,0.0048
0.5339,0.0048
0.5466,0.0048
0.5593,0.0047
0.5720,0.0048
0.5847,0.0048
0.5975,0.0048
0.6102,0.0050
0.6229,0.0045
0.6356,0.0048
0.6483,0.0054
0.6610,0.0045
0.6737,0.0047
0.6864,0.0046
0.6991,0.0048
0.7119,0.0051
0.7246,0.0046
0.7373,0.0048
0.7500,0.0054
0.7627,0.0046
0.7754,0.0048
0.7881,0.0054
0.8008,0.0045
0.8135,0.0048
0.8263,0.0045
0.8390,0.0045
0.8517,0.0049
0.8644,0.0048
0.8771,0.0049
0.8898,0.0054
0.9025,0.0048
0.9152,0.0050
0.9280,0.0048
0.9407,0.0047
0.9534,0.0048
0.9661,0.0048
0.9788,0.0047
0.9915,0.0045
1.0042,0.0048
1.0169,0.0048
1.0296,0.0050
1.0424,0.0047
1.0551,0.0048
1.0678,0.0053
1.0805,0.0053
1.0932,0.0045
1.1059,0.0048
1.1186,0.0049
1.1313,0.0047
1.1441,0.0048
1.1568,0.0048
1.1695,0.0048
1.1822,0.0048
1.1949,0.0048
1.2076,0.0048
1.2203,0.0048
1.2330,0.0042
1.2457,0.0050
1.2585,0.0048
1.2712,0.0047
1.2839,0.0048
1.2966,0.0049
1.3093,0.0050
1.3220,0.0048
1.3347,0.0048
1.3474,0.0048
1.3602,0.0048
1.3729,0.0051
1.3856,0.0048
1.3983,0.0047
1.4110,0.0048
1.4237,0.0049
1.4364,0.0045
1.4491,0.0048
1.4618,0.0047
1.4746,0.0048
1.4873,0.0048
1.5000,0.0048
1.5127,0.0047
1.5254,0.0049
1.5381,0.0053
1.5508,0.0048
1.5635,0.0046
1.5763,0.0048
1.5890,0.0048
1.6017,0.0048
1.6144,0.0049
1.6271,0.0048
1.6398,0.0048
1.6525,0.0048
1.6652,0.0051
1.6779,0.0048
1.6907,0.0048
1.7034,0.0048
1.7161,0.0048
1.7288,0.0048
1.7415,0.0048
1.7542,0.0048
1.7669,0.0048
1.7796,0.0048
1.7924,0.0048
1.8051,0.0048
1.8178,0.0048
