X, Y0
0.0000,0.0022
0.0121,0.0022
0.0242,0.0021
0.0363,0.0023
0.0484,0.0018
0.0606,0.0022
0.0727,0.0024
0.0848,0.0020
0.0969,0.0021
0.1090,0.0022
0.1211,0.0015
0.1332,0.0022
0.1453,0.0017
0.1574,0.0020
0.1696,0.0023
0.1817,0.0018
0.1938,0.0021
0.2059,0.0018
0.2180,0.0015
0.2301,0.0019
0.2422,0.0023
0.2543,0.0023
0.2664,0.0020
0.2786,0.0020
0.2907,0.0018
0.3028,0.0019
0.3149,0.0019
0.3270,0.0022
0.3391,0.0019
0.3512,0.0019
0.3633,0.0018
0.3754,0.0022
0.3876,0.0020
0.3997,0.0019
0.4118,0.0018
0.4239,0.0022
0.4360,0.0018
0.4481,0.0015
0.4602,0.0015
0.4723,0.0018
0.4844,0.0022
0.4966,0.0021
0.5087,0.0021
0.5208,0.0018
0.5329,0.0025
0.5450,0.0018
0.5571,0.0022
0.5692,0.0020
0.5813,0.0022
0.5934,0.0020
0.6056,0.0020
0.6177,0.0022
0.6298,0.0020
0.6419,0.0016
0.6540,0.0018
0.6661,0.0018
0.6782,0.0021
0.6903,0.0018
0.7024,0.0020
0.7146,0.0022
0.7267,0.0022
0.7388,0.0021
0.7509,0.0021
0.7630,0.0018
0.7751,0.0021
0.7872,0.0022
0.7993,0.0019
0.8114,0.0022
0.8236,0.0023
0.8357,0.0021
0.8478,0.0019
0.8599,0.0021
0.8720,0.0022
0.8841,0.0015
0.8962,0.0022
0.9083,0.0021
0.9204,0.0018
0.9326,0.0021
0.9447,0.0019
0.9568,0.0020
0.9689,0.0022
0.9810,0.0025
0.9931,0.0019
1.0052,0.0018
1.0173,0.0019
1.0294,0.0019
1.0416,0.0022
1.0537,0.0018
1.0658,0.0021
1.0779,0.0022
1.0900,0.0022
1.1021,0.0016
1.1142,0.0022
1.1263,0.0019
1.1384,0.0018
1.1506,0.0020
1.1627,0.0024
1.1748,0.0019
1.1869,0.0016
1.1990,0.0022
1.2111,0.0021
1.2232,0.0021
1.2353,0.0022
1.2474,0.0022
1.2596,0.0022
1.2717,0.0021
1.2838,0.0027
1.2959,0.0019
1.3080,0.0022
1.3201,0.0022
1.3322,0.0022
1.3443,0.0019
1.3564,0.0022
1.3686,0.0027
1.3807,0.0025
1.3928,0.0022
1.4049,0.0022
1.4170,0.0022
1.4291,0.0027
1.4412,0.0031
1.4533,0.0024
1.4654,0.0024
1.4776,0.0023
1.4897,0.0028
1.5018,0.0025
1.5139,0.0025
1.5260,0.0025
1.5381,0.0027
1.5502,0.0029
