X, Y0
0.0000,0.0084
0.0306,0.0081
0.0613,0.0081
0.0919,0.0081
0.1225,0.0077
0.1531,0.0083
0.1838,0.0085
0.2144,0.0083
0.2450,0.0081
0.2757,0.0080
0.3063,0.0081
0.3369,0.0081
0.3676,0.0084
0.3982,0.0082
0.4288,0.0078
0.4594,0.0079
0.4901,0.0075
0.5207,0.0078
0.5513,0.0084
0.5820,0.0078
0.6126,0.0082
0.6432,0.0084
0.6739,0.0078
0.7045,0.0081
0.7351,0.0081
0.7657,0.0080
0.7964,0.0084
0.8270,0.0081
0.8576,0.0081
0.8883,0.0081
0.9189,0.0084
0.9495,0.0081
0.9801,0.0084
1.0108,0.0081
1.0414,0.0080
1.0720,0.0084
1.1027,0.0083
1.1333,0.0077
1.1639,0.0078
1.1946,0.0084
1.2252,0.0081
1.2558,0.0083
1.2864,0.0080
1.3171,0.0087
1.3477,0.0082
1.3783,0.0084
1.4090,0.0081
1.4396,0.0084
1.4702,0.0087
1.5009,0.0084
1.5315,0.0087
1.5621,0.0084
1.5927,0.0087
1.6234,0.0089
1.6540,0.0084
1.6846,0.0085
1.7153,0.0090
1.7459,0.0088
1.7765,0.0086
1.8071,0.0088
1.8378,0.0088
1.8684,0.0091
1.8990,0.0094
1.9297,0.0090
1.9603,0.0093
1.9909,0.0094
2.0216,0.0095
2.0522,0.0097
2.0828,0.0097
2.1134,0.0099
2.1441,0.0097
2.1747,0.0100
2.2053,0.0102
2.2360,0.0101
2.2666,0.0106
2.2972,0.0108
2.3279,0.0109
2.3585,0.0114
2.3891,0.0113
2.4197,0.0117
2.4504,0.0117
2.4810,0.0120
2.5116,0.0120
2.5423,0.0129
2.5729,0.0130
2.6035,0.0137
2.6341,0.0140
2.6648,0.0146
2.6954,0.0152
2.7260,0.0150
2.7567,0.0158
2.7873,0.0165
2.8179,0.0166
2.8486,0.0171
2.8792,0.0178
2.9098,0.0179
2.9404,0.0185
2.9711,0.0186
3.0017,0.0191
3.0323,0.0198
3.0630,0.0199
3.0936,0.0201
3.1242,0.0202
3.1549,0.0212
3.1855,0.0214
3.2161,0.0206
3.2467,0.0213
3.2774,0.0216
3.3080,0.0216
3.3386,0.0216
3.3693,0.0216
3.3999,0.0216
3.4305,0.0217
3.4611,0.0224
3.4918,0.0211
3.5224,0.0218
3.5530,0.0212
3.5837,0.0214
3.6143,0.0212
3.6449,0.0212
3.6756,0.0209
3.7062,0.0206
3.7368,0.0206
3.7674,0.0198
3.7981,0.0199
3.8287,0.0195
3.8593,0.0194
3.8900,0.0189
3.9206,0.0189
3.9512,0.0189
3.9819,0.0182
4.0125,0.0179
4.0431,0.0176
4.0737,0.0174
4.1044,0.0175
4.1350,0.0170
4.1656,0.0173
4.1963,0.0170
4.2269,0.0172
4.2575,0.0168
4.2881,0.0167
4.3188,0.0167
4.3494,0.0171
4.3800,0.0166
4.4107,0.0168
4.4413,0.0165
4.4719,0.0167
4.5026,0.0170
4.5332,0.0173
4.5638,0.0170
4.5944,0.0171
4.6251,0.0176
4.6557,0.0174
4.6863,0.0177
4.7170,0.0183
4.7476,0.0183
4.7782,0.0181
4.8089,0.0186
4.8395,0.0188
4.8701,0.0195
4.9007,0.0190
4.9314,0.0193
4.9620,0.0196
4.9926,0.0199
5.0233,0.0202
5.0539,0.0203
